Tipo_Solicitud_enc,Prioridad_enc,Aseguradora_enc,Producto_enc,Verificacion_de_dia_enc,Nro_atenciones,CRUCE_ANS_num,hora_decimal,mes_solicitud,semana_anio,dia_semana_num,es_fin_semana,es_inicio_mes,es_fin_mes,es_despues_5pm,target,ANS_FORMULA
5,6,26,11,2,2.0,1,11.633333333333333,1,5,1,0,0,1,0,1,Fuera ANS
5,4,12,10,2,2.0,1,11.616666666666667,1,5,1,0,0,1,0,0,Dentro ANS
30,4,14,5,2,1.0,0,11.583333333333334,1,5,1,0,0,1,0,0,Dentro ANS
12,6,14,11,2,2.0,3,11.533333333333333,1,5,1,0,0,1,0,0,Dentro ANS
4,2,6,5,2,2.0,3,11.466666666666667,1,5,1,0,0,1,0,0,Dentro ANS
26,2,6,5,2,1.0,0,11.45,1,5,1,0,0,1,0,1,Fuera ANS
14,2,25,6,2,1.0,3,11.433333333333334,1,5,1,0,0,1,0,0,Dentro ANS
10,4,14,6,2,1.0,0,11.416666666666666,1,5,1,0,0,1,0,0,Dentro ANS
22,2,6,5,2,1.0,3,11.316666666666666,1,5,1,0,0,1,0,0,Dentro ANS
12,2,19,13,2,1.0,1,11.2,1,5,1,0,0,1,0,0,Dentro ANS
5,6,26,10,2,3.0,1,11.133333333333333,1,5,1,0,0,1,0,0,Dentro ANS
32,2,15,13,2,1.0,10,11.116666666666667,1,5,1,0,0,1,0,0,Dentro ANS
14,1,25,6,2,1.0,3,11.1,1,5,1,0,0,1,0,0,Dentro ANS
14,2,25,6,2,1.0,3,11.066666666666666,1,5,1,0,0,1,0,0,Dentro ANS
32,2,6,5,2,2.0,10,11.033333333333333,1,5,1,0,0,1,0,0,Dentro ANS
5,2,16,10,2,2.0,1,11.033333333333333,1,5,1,0,0,1,0,0,Dentro ANS
32,0,15,10,2,1.0,10,10.966666666666667,1,5,1,0,0,1,0,0,Dentro ANS
38,2,19,10,2,2.0,1,10.933333333333334,1,5,1,0,0,1,0,1,Fuera ANS
22,2,6,5,2,1.0,3,10.933333333333334,1,5,1,0,0,1,0,0,Dentro ANS
5,6,15,10,2,3.0,3,10.933333333333334,1,5,1,0,0,1,0,0,Dentro ANS
38,2,15,10,2,3.0,1,10.916666666666666,1,5,1,0,0,1,0,1,Fuera ANS
38,2,15,10,2,3.0,1,10.9,1,5,1,0,0,1,0,1,Fuera ANS
38,2,15,10,2,2.0,1,10.9,1,5,1,0,0,1,0,1,Fuera ANS
32,0,15,10,2,2.0,10,10.816666666666666,1,5,1,0,0,1,0,0,Dentro ANS
30,2,12,10,2,5.0,2,10.816666666666666,1,5,1,0,0,1,0,0,Dentro ANS
19,0,26,7,2,10.0,5,10.766666666666667,1,5,1,0,0,1,0,0,Dentro ANS
5,2,12,10,2,2.0,1,10.733333333333333,1,5,1,0,0,1,0,0,Dentro ANS
30,2,6,5,2,1.0,0,10.733333333333333,1,5,1,0,0,1,0,1,Fuera ANS
26,0,6,13,2,3.0,3,10.6,1,5,1,0,0,1,0,0,Dentro ANS
32,4,15,10,2,2.0,10,10.566666666666666,1,5,1,0,0,1,0,0,Dentro ANS
16,2,6,5,2,1.0,0,10.55,1,5,1,0,0,1,0,1,Fuera ANS
19,2,25,6,2,2.0,5,10.483333333333333,1,5,1,0,0,1,0,0,Dentro ANS
32,2,26,10,2,2.0,10,10.466666666666667,1,5,1,0,0,1,0,0,Dentro ANS
5,4,26,13,2,1.0,1,10.366666666666667,1,5,1,0,0,1,0,0,Dentro ANS
5,4,25,13,2,1.0,1,10.35,1,5,1,0,0,1,0,0,Dentro ANS
22,2,6,5,2,1.0,3,10.333333333333334,1,5,1,0,0,1,0,0,Dentro ANS
12,6,15,10,2,6.0,1,10.266666666666667,1,5,1,0,0,1,0,0,Dentro ANS
22,2,26,9,2,1.0,4,10.266666666666667,1,5,1,0,0,1,0,0,Dentro ANS
14,2,14,6,2,1.0,3,10.233333333333333,1,5,1,0,0,1,0,0,Dentro ANS
22,2,6,5,2,1.0,3,10.216666666666667,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,5,2,2.0,1,10.216666666666667,1,5,1,0,0,1,0,0,Dentro ANS
12,0,19,10,2,2.0,1,10.2,1,5,1,0,0,1,0,1,Fuera ANS
5,4,26,13,2,1.0,1,10.183333333333334,1,5,1,0,0,1,0,0,Dentro ANS
5,4,26,13,2,1.0,1,10.15,1,5,1,0,0,1,0,0,Dentro ANS
12,4,15,10,2,4.0,1,10.133333333333333,1,5,1,0,0,1,0,1,Fuera ANS
12,4,15,13,2,1.0,1,10.133333333333333,1,5,1,0,0,1,0,1,Fuera ANS
22,2,0,5,2,1.0,3,9.966666666666667,1,5,1,0,0,1,0,1,Fuera ANS
28,2,6,5,2,1.0,0,9.966666666666667,1,5,1,0,0,1,0,0,Dentro ANS
5,4,26,13,2,1.0,1,9.95,1,5,1,0,0,1,0,0,Dentro ANS
14,2,26,13,2,1.0,3,9.95,1,5,1,0,0,1,0,1,Fuera ANS
12,2,19,10,2,2.0,1,9.916666666666666,1,5,1,0,0,1,0,1,Fuera ANS
14,4,20,1,2,7.0,3,9.916666666666666,1,5,1,0,0,1,0,0,Dentro ANS
5,2,4,13,2,1.0,3,9.9,1,5,1,0,0,1,0,0,Dentro ANS
14,5,25,6,2,6.0,3,9.9,1,5,1,0,0,1,0,0,Dentro ANS
5,5,25,6,2,6.0,2,9.9,1,5,1,0,0,1,0,0,Dentro ANS
12,0,19,10,2,2.0,1,9.883333333333333,1,5,1,0,0,1,0,1,Fuera ANS
12,2,19,13,2,1.0,1,9.883333333333333,1,5,1,0,0,1,0,0,Dentro ANS
5,4,26,13,2,1.0,1,9.85,1,5,1,0,0,1,0,0,Dentro ANS
32,2,19,10,2,2.0,10,9.75,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,5,2,2.0,1,9.75,1,5,1,0,0,1,0,0,Dentro ANS
5,2,19,10,2,3.0,1,9.7,1,5,1,0,0,1,0,1,Fuera ANS
5,6,12,10,2,2.0,1,9.683333333333334,1,5,1,0,0,1,0,0,Dentro ANS
34,0,25,6,2,1.0,0,9.65,1,5,1,0,0,1,0,0,Dentro ANS
5,4,11,10,2,3.0,1,9.533333333333333,1,5,1,0,0,1,0,1,Fuera ANS
16,2,6,5,2,1.0,0,9.533333333333333,1,5,1,0,0,1,0,1,Fuera ANS
5,2,25,6,2,1.0,2,9.466666666666667,1,5,1,0,0,1,0,0,Dentro ANS
22,2,26,11,2,1.0,1,9.433333333333334,1,5,1,0,0,1,0,1,Fuera ANS
22,2,26,13,2,1.0,1,9.433333333333334,1,5,1,0,0,1,0,1,Fuera ANS
4,2,10,5,2,1.0,3,9.333333333333334,1,5,1,0,0,1,0,0,Dentro ANS
32,4,15,10,2,3.0,10,9.283333333333333,1,5,1,0,0,1,0,0,Dentro ANS
32,4,15,10,2,4.0,10,9.25,1,5,1,0,0,1,0,0,Dentro ANS
32,4,15,10,2,1.0,10,9.1,1,5,1,0,0,1,0,0,Dentro ANS
22,2,26,9,2,1.0,4,9.1,1,5,1,0,0,1,0,0,Dentro ANS
22,4,6,5,2,1.0,3,9.083333333333334,1,5,1,0,0,1,0,0,Dentro ANS
30,4,6,10,2,1.0,2,9.0,1,5,1,0,0,1,0,0,Dentro ANS
18,2,25,6,2,1.0,5,8.916666666666666,1,5,1,0,0,1,0,0,Dentro ANS
22,2,6,5,2,1.0,3,8.883333333333333,1,5,1,0,0,1,0,0,Dentro ANS
14,2,6,5,2,2.0,3,8.866666666666667,1,5,1,0,0,1,0,0,Dentro ANS
32,2,26,11,2,2.0,10,8.8,1,5,1,0,0,1,0,0,Dentro ANS
24,2,6,5,2,1.0,0,8.733333333333333,1,5,1,0,0,1,0,1,Fuera ANS
23,4,26,7,2,1.0,4,8.733333333333333,1,5,1,0,0,1,0,0,Dentro ANS
22,0,21,5,2,2.0,3,8.616666666666667,1,5,1,0,0,1,0,0,Dentro ANS
14,2,28,6,2,1.0,3,8.566666666666666,1,5,1,0,0,1,0,0,Dentro ANS
26,2,26,11,2,1.0,3,8.55,1,5,1,0,0,1,0,0,Dentro ANS
26,2,15,10,2,1.0,3,8.55,1,5,1,0,0,1,0,0,Dentro ANS
30,4,19,1,2,1.0,0,8.466666666666667,1,5,1,0,0,1,0,0,Dentro ANS
32,2,6,10,2,1.0,10,8.433333333333334,1,5,1,0,0,1,0,0,Dentro ANS
14,2,26,7,2,1.0,3,8.316666666666666,1,5,1,0,0,1,0,0,Dentro ANS
12,6,19,10,2,2.0,1,8.3,1,5,1,0,0,1,0,0,Dentro ANS
22,2,21,5,2,1.0,3,8.283333333333333,1,5,1,0,0,1,0,0,Dentro ANS
30,2,6,10,2,1.0,2,8.216666666666667,1,5,1,0,0,1,0,0,Dentro ANS
12,6,19,13,2,1.0,3,8.033333333333333,1,5,1,0,0,1,0,0,Dentro ANS
32,4,26,3,2,1.0,10,7.65,1,5,1,0,0,1,0,0,Dentro ANS
12,2,15,13,2,1.0,1,6.066666666666666,1,5,1,0,0,1,0,1,Fuera ANS
5,2,26,13,2,1.0,1,1.5333333333333332,1,5,1,0,0,1,0,0,Dentro ANS
22,2,26,9,2,1.0,4,0.6166666666666667,1,5,1,0,0,1,0,0,Dentro ANS
26,2,25,6,2,1.0,2,0.0,1,5,1,0,0,1,0,0,Dentro ANS
12,2,26,3,2,1.0,3,0.0,1,5,1,0,0,1,0,0,Dentro ANS
1,4,15,10,2,2.0,2,0.0,1,5,1,0,0,1,0,0,Dentro ANS
19,2,15,10,2,2.0,3,0.0,1,5,1,0,0,1,0,0,Dentro ANS
19,2,26,11,2,2.0,3,0.0,1,5,1,0,0,1,0,0,Dentro ANS
20,2,6,5,2,1.0,0,0.0,1,5,1,0,0,1,0,0,Dentro ANS
20,2,6,5,2,2.0,0,0.0,1,5,1,0,0,1,0,0,Dentro ANS
34,2,25,6,2,1.0,0,0.0,1,5,1,0,0,1,0,0,Dentro ANS
5,4,25,6,2,1.0,2,23.766666666666666,1,5,0,0,0,1,1,0,Dentro ANS
32,2,19,10,2,2.0,10,22.3,1,5,0,0,0,1,1,0,Dentro ANS
12,2,26,13,2,1.0,1,22.083333333333332,1,5,0,0,0,1,1,0,Dentro ANS
5,4,14,10,2,1.0,1,21.833333333333332,1,5,0,0,0,1,1,0,Dentro ANS
32,2,15,10,2,4.0,10,21.8,1,5,0,0,0,1,1,0,Dentro ANS
22,2,26,10,2,1.0,1,21.583333333333332,1,5,0,0,0,1,1,0,Dentro ANS
22,2,26,11,2,1.0,1,21.583333333333332,1,5,0,0,0,1,1,0,Dentro ANS
19,2,26,10,2,2.0,1,21.583333333333332,1,5,0,0,0,1,1,1,Fuera ANS
18,4,25,6,2,3.0,5,21.433333333333334,1,5,0,0,0,1,1,0,Dentro ANS
30,2,6,10,2,1.0,2,21.2,1,5,0,0,0,1,1,0,Dentro ANS
5,0,26,10,2,3.0,1,20.8,1,5,0,0,0,1,1,0,Dentro ANS
32,2,19,10,2,2.0,10,20.783333333333335,1,5,0,0,0,1,1,0,Dentro ANS
32,2,6,5,2,1.0,10,20.65,1,5,0,0,0,1,1,0,Dentro ANS
19,2,25,9,2,2.0,5,20.566666666666666,1,5,0,0,0,1,1,0,Dentro ANS
5,4,15,10,2,4.0,1,20.566666666666666,1,5,0,0,0,1,1,0,Dentro ANS
32,2,19,10,2,2.0,10,20.416666666666668,1,5,0,0,0,1,1,0,Dentro ANS
10,2,20,6,2,2.0,0,20.233333333333334,1,5,0,0,0,1,1,0,Dentro ANS
5,2,6,10,2,2.0,1,20.133333333333333,1,5,0,0,0,1,1,0,Dentro ANS
32,4,15,10,2,2.0,10,20.116666666666667,1,5,0,0,0,1,1,0,Dentro ANS
22,2,26,13,2,1.0,1,19.2,1,5,0,0,0,1,1,0,Dentro ANS
19,2,25,6,2,1.0,5,19.066666666666666,1,5,0,0,0,1,1,0,Dentro ANS
